,elo
Spain,2299.737348025548
Argentina,2272.6430086809582
France,2192.7568077378296
England,2147.787138970558
Colombia,2082.2845848354236
Brazil,2073.651527721763
Portugal,2066.549845523018
Netherlands,2046.4437142274398
Morocco,2031.808240566625
Norway,2027.9593212794002
Belgium,2016.9991445366152
Mexico,2016.1670113090931
Switzerland,1998.1050608656642
Germany,1988.3529907448437
Japan,1973.619535614063
Ecuador,1956.167459177963
Croatia,1948.669336178372
Denmark,1936.4193278474759
Italy,1935.6131532672637
Turkey,1924.4711116968592
Uruguay,1918.8039172964834
Australia,1904.6495722224952
Paraguay,1896.1582914254877
Austria,1885.5279807571476
Iran,1881.528781315564
Nigeria,1878.2861610584735
Senegal,1876.023388751824
Yugoslavia,1866.5561473170583
Egypt,1853.3520176260652
Algeria,1853.2897230692708
United States,1852.8796836402942
Canada,1843.3568504017321
Ivory Coast,1842.6365546687243
South Korea,1839.7656511401453
Russia,1837.677999206513
Scotland,1828.7007300107225
Ukraine,1827.3638650790806
Venezuela,1818.4543100004953
Greece,1816.180882258541
Serbia,1812.1697203631254
DR Congo,1807.5113937174335
Jersey,1804.117632207933
Basque Country,1804.0033898200559
Sweden,1802.8583560157585
Czechoslovakia,1799.8794014858254
Chile,1797.8361138307987
Kosovo,1784.5180930003955
Poland,1768.0691567211788
Peru,1766.4369607199467
Panama,1764.6557310757644
Hungary,1763.6271301012303
Republic of Ireland,1763.4918749894925
Czech Republic,1758.473139579497
Northern Cyprus,1755.563626235749
Wales,1749.0582774819613
Guernsey,1744.9933490328422
Costa Rica,1740.2113876425685
Slovenia,1737.735756983851
Uzbekistan,1732.013199309374
German DR,1726.4373948754835
Cameroon,1723.3046342596904
Slovakia,1721.3052554111753
Jordan,1717.1604712040332
Georgia,1714.9059952155376
Bolivia,1713.6342615944552
Isle of Man,1707.2594286913982
Saudi Arabia,1706.2295172828515
Mali,1703.7049364402094
Israel,1703.6507207741618
Romania,1703.2771804631084
Honduras,1696.238322386372
South Africa,1694.9918287141775
Cape Verde,1694.7855087858911
Occitania,1684.6437133010968
Ghana,1678.7174583329008
Bosnia and Herzegovina,1677.8120214830358
Albania,1676.0468212692672
New Zealand,1674.3286739484602
Iraq,1674.3174523402445
United Arab Emirates,1668.322156860659
Catalonia,1665.0068678974778
Northern Ireland,1663.2048472462934
Padania,1663.1199603808323
Isle of Wight,1661.8424962765584
Tunisia,1658.531295000698
Haiti,1650.2842706567767
Jamaica,1649.334947951409
North Macedonia,1649.056193451932
Burkina Faso,1646.0542491810916
Iraqi Kurdistan,1645.5892990375803
Ynys Môn,1641.3382869736538
Guatemala,1639.0371602171713
Abkhazia,1629.6491203993037
Iceland,1618.6057688611704
Kárpátalja,1607.7051224782797
Kernow,1598.3849070124033
Andalusia,1597.9757848993534
New Caledonia,1595.1717865227542
Rhodes,1592.8463882442336
Curaçao,1592.8219240486628
Syria,1592.2954623971036
County of Nice,1590.2554478715078
Angola,1587.4882816634768
Tamil Eelam,1585.1469003325387
Finland,1584.0707796227337
Panjab,1582.8242266294212
Palestine,1582.1316077856227
Suriname,1581.202051983451
Belarus,1580.6922542908405
Réunion,1580.5520331357657
Oman,1575.59606809837
Guinea,1572.1806606587122
Ellan Vannin,1569.1247475809266
Kurdistan,1566.4759381570993
Menorca,1565.420489441277
Artsakh,1559.9483281862338
Corsica,1559.5949144512929
China,1555.767931079458
Yorkshire,1555.215571316981
Chameria,1551.3861198998723
Zambia,1548.190022928894
Qatar,1547.1811082929398
Cascadia,1545.0134838322842
Arameans Suryoye,1544.943281601377
Quebec,1544.810311826981
Bahrain,1542.8065122644982
Thailand,1537.4698783972651
Zanzibar,1534.3121129261813
Gambia,1533.8350090699332
Bulgaria,1533.1978604559158
Benin,1532.5683956015962
Galicia,1530.8714441691714
Libya,1529.2317466906218
Maule Sur,1528.345836909456
Trinidad and Tobago,1527.2627762245922
Gabon,1521.2652685618807
Asturias,1519.7659276472946
Montenegro,1518.9398643035731
Canary Islands,1517.8264802087435
Western Armenia,1517.2609435446316
Elba Island,1515.628788314824
Surrey,1515.514711897894
Parishes of Jersey,1514.8232574422393
Biafra,1514.7503527466693
Uganda,1511.6794223946965
Donetsk PR,1511.238594502901
Silesia,1511.1985313893974
Indonesia,1510.6942870208572
Guadeloupe,1509.4730073547566
Mapuche,1508.4707999873015
Tahiti,1508.024736246563
Madagascar,1506.8785340558663
Felvidék,1506.3100034740025
Brittany,1506.153220180064
Crimea,1505.4288434998402
Kazakhstan,1503.6191684689463
Shetland,1502.2428695027377
United Koreans in Japan,1501.7831954756623
Délvidék,1500.302538934385
Székely Land,1498.0900427525028
Togo,1496.1258754100686
Saugeais,1495.129798099371
Central Spain,1494.9776123079532
Niger,1493.9561323320522
Mozambique,1491.9079886548843
Greenland,1491.494875015042
Malaysia,1490.2969230796916
Madrid,1490.2363193533895
Cilento,1489.865687166433
El Salvador,1488.7301713204797
Nicaragua,1488.1970670785247
North Korea,1487.8917150501554
Luhansk PR,1487.6348659909313
Seborga,1486.896954638114
North Vietnam,1486.5764281291226
Republic of St. Pauli,1484.624225340895
Yoruba Nation,1483.527420239667
Comoros,1483.2509874314505
Matabeleland,1482.5495046759581
Sealand,1481.6170953947558
Kuwait,1479.5205965615896
Sápmi,1478.620113516601
Franconia,1476.2276285351616
Somaliland,1476.0805693235204
Guyana,1475.2830992979018
South Ossetia,1475.0565737819818
Ryūkyū,1474.4516455770508
West Papua,1474.3423426309919
Åland Islands,1473.7511914183442
Vietnam,1473.559998235659
Gozo,1471.1144218819504
Zimbabwe,1470.5119412117303
Kenya,1468.8777202830356
Sudan,1468.8319079250043
South Yemen,1468.7220737445396
Martinique,1468.507183543838
Rouet-Provence,1465.4964187030419
Aymara,1463.1833631032425
Sierra Leone,1463.1565253116837
Dominican Republic,1462.7213784290766
Provence,1461.871455157152
Romani people,1461.4965819537565
Hmong,1460.7123935698098
Kyrgyzstan,1457.3119107412654
Luxembourg,1456.733324272433
Kabylia,1455.6399732574407
East Turkestan,1454.658977495481
Papua New Guinea,1453.7491023279106
Rwanda,1453.0687864548001
Faroe Islands,1452.461606544882
Mayotte,1452.3537431927637
Saarland,1449.8070993002293
Chechnya,1449.6112694755757
Gotland,1448.9106925724916
Mauritania,1445.1051496641426
Equatorial Guinea,1440.7676728485917
Vanuatu,1439.9386246061792
Monaco,1438.838258668209
French Guiana,1438.2954375311217
Lebanon,1438.2312737128525
Tajikistan,1436.537812156855
Malawi,1436.4276346028141
Liberia,1436.0768578981774
Western Isles,1433.842850819947
Manchukuo,1431.4011143784683
Estonia,1429.7690251200042
Găgăuzia,1429.395753597369
Niue,1427.07842848005
Palau,1422.252646956911
Armenia,1418.6303732210806
Fiji,1417.9304413511786
Marshall Islands,1417.5204045918401
Tanzania,1416.9414998380375
Namibia,1414.8653134586598
Saint Barthélemy,1413.031865294548
Lesotho,1412.3310159799125
Vatican City,1409.1518848415776
Canton Ticino,1406.6341132673529
Two Sicilies,1402.0001664699569
Cuba,1399.7828540448522
Orkney,1398.9383340102597
Western Sahara,1398.81395595981
Western Australia,1394.665432955989
Ambazonia,1389.3354567642323
Ethiopia,1389.1440830126285
Botswana,1388.0665492445794
Turkmenistan,1387.575751997843
Azerbaijan,1386.167058549704
Raetia,1384.2653683661028
Burundi,1383.0589733387746
Cyprus,1377.2652027882996
Barawa,1368.4832219571663
Solomon Islands,1368.2896180630833
Guinea-Bissau,1360.3323875480573
Central African Republic,1354.881939248437
Malta,1354.8355027482212
Chagos Islands,1354.1766661810216
Yemen DPR,1353.1026246330798
Vietnam Republic,1351.5959851563575
Saint Helena,1347.7126916480827
Puerto Rico,1346.9132840836455
Philippines,1343.6992729303433
Hitra,1341.13515824161
Saare County,1340.5316269144437
Bermuda,1339.681716823268
Saint Vincent and the Grenadines,1339.3281733429403
Moldova,1335.5243049550534
Congo,1328.5544634504417
Micronesia,1327.8818224526665
Sark,1327.8004029882197
Latvia,1327.0079949923675
Lithuania,1324.8625684884366
Hong Kong,1317.534920859838
Eswatini,1310.13358162644
Yemen,1302.511448531198
Singapore,1301.5812402678994
Wallis Islands and Futuna,1295.3349735775698
Saint Pierre and Miquelon,1286.3850259544079
Sint Maarten,1281.0398240338725
Grenada,1280.5415279020742
Belize,1278.1226114876977
Saint Martin,1277.1916233663837
Darfur,1275.434645955515
South Sudan,1269.4746047901754
Tibet,1265.0981274227902
Saint Kitts and Nevis,1262.6688391650482
Samoa,1249.1272804842365
Chad,1245.0928837405884
India,1241.9764708705113
Kiribati,1231.89704347603
Montserrat,1231.3559521323095
Saint Lucia,1220.4842503602558
Tuvalu,1215.2898755763765
Falkland Islands,1212.9217624673977
Mauritius,1210.811992628976
Aruba,1209.4636962207594
Eritrea,1196.1788793104947
Frøya,1191.0679712089718
São Tomé and Príncipe,1175.393737516138
Dominica,1167.8147007364246
Afghanistan,1166.875248024513
Andorra,1145.8327154912931
Cook Islands,1143.5363666855762
Myanmar,1139.2304469152748
Bangladesh,1137.1268377428191
Antigua and Barbuda,1129.7569165945276
Bonaire,1129.091591116118
Gibraltar,1125.5024074239516
Barbados,1124.9107411336295
Pakistan,1118.5221365380908
Nepal,1102.0959596880134
Cambodia,1084.24338149428
Alderney,1078.7206930243094
Tonga,1074.47862163898
Djibouti,1072.2575740571497
Taiwan,1061.6475660538024
Somalia,1055.4911877356335
Cayman Islands,1052.6230026158014
British Virgin Islands,1024.5288331830238
Sri Lanka,1017.5002340550842
Seychelles,1007.8948586880109
Turks and Caicos Islands,1007.4219523870977
Maldives,1000.2289385927646
United States Virgin Islands,991.8263315774429
Mongolia,982.6616619965224
Guam,975.7915364920324
Northern Mariana Islands,966.1048734870245
Liechtenstein,957.4767767646479
Bahamas,954.8803348013536
Laos,945.2806219018653
American Samoa,930.7170178406249
San Marino,927.927064060256
Anguilla,900.4548433900075
Timor-Leste,898.7010400148562
Brunei,895.1299212240837
Bhutan,858.43813249122
Macau,838.8355357090655
